Animal,Symptom (User Input),Disease,Home Treatment (User-Friendly)
Sheep,"Diarrhea, bloating",Digestive Upset,"Provide water, hay, monitor closely."
Fish,"Clamped fins, lethargy",Poor Water Quality,"Partial water change, maintain clean tank."
Chicken,"Coughing, sneezing",Respiratory Infection,"Keep coop clean, provide warmth, water."
Hamster,"Sneezing, nasal discharge",Respiratory Infection,"Keep warm, clean cage, see vet if persists."
Dog,"Itchy skin, scratching",Flea Infestation,"Bathe with flea shampoo, comb fur, clean bedding."
Duck,Reduced egg laying,Nutritional Deficiency,"Balanced feed, vitamins in water."
Bird,"Weak, not eating",Nutritional Deficiency,"Balanced feed, vitamins in water."
Bird,"Diarrhea, weakness",Coccidiosis,"Keep bedding dry, provide probiotics, isolate sick birds."
Horse,"Itchy, scabs",Skin Infection,"Clean area, apply vet-recommended ointment."
Dog,"Limping, pain",Minor Injury,"Rest, cold compress, limit activity."
Dog,"Ear scratching, odor",Ear Infection,"Clean ear gently, use vet-approved drops."
Horse,"Coughing, nasal discharge",Respiratory Infection,"Keep in ventilated area, monitor symptoms."
Chicken,"Limping, wounds",Injury,"Clean wound, rest, monitor."
Hamster,"Sneezing, nasal discharge",Respiratory Infection,"Keep warm, clean cage, see vet if persists."
Rabbit,Diarrhea,Mild Stomach Upset,"Small portions of vegetables, water, monitor closely."
Duck,"Limping, swollen foot",Injury,"Rest, clean wound, monitor."
Chicken,"Scratching, feather loss",Mites / Lice,"Clean coop, use safe anti-parasitic treatment."
Sheep,"Limping, foul smell",Foot Rot,"Clean hooves, disinfect, keep dry pasture."
Bird,"Straining, lethargy",Egg Binding,"Warm area, gently massage, see vet if persists."
Duck,Reduced egg laying,Nutritional Deficiency,"Balanced feed, vitamins in water."
Rabbit,"Loss of appetite, lethargy",Gastrointestinal Stasis,"Offer hay, fresh water, stress-free environment."
Sheep,"Diarrhea, bloating",Digestive Upset,"Provide water, hay, monitor closely."
Rabbit,"Loss of appetite, lethargy",Gastrointestinal Stasis,"Offer hay, fresh water, stress-free environment."
Horse,"Limping, heat in hooves",Laminitis,"Rest, cold compress, consult vet."
Duck,"Diarrhea, weakness",Coccidiosis,"Keep bedding dry, provide probiotics, isolate sick ducks."
Cat,"Sneezing, watery eyes",Respiratory Infection,"Keep indoors, warm, monitor symptoms."
Cow,"Scratching, dull coat",Parasites,"Deworm regularly, maintain clean shelter."
Fish,"Clamped fins, lethargy",Poor Water Quality,"Partial water change, maintain clean tank."
Rabbit,Overgrown teeth,Dental Problem,"Provide chew toys, monitor eating, see vet if persists."
Sheep,"Coughing, nasal discharge",Respiratory Infection,"Isolate, keep warm, see vet."
Chicken,Reduced egg laying,Nutritional Deficiency,"Balanced feed, vitamins in water."
Cow,"Scratching, dull coat",Parasites,"Deworm regularly, maintain clean shelter."
Chicken,Reduced egg laying,Nutritional Deficiency,"Balanced feed, vitamins in water."
Hamster,Loss of appetite,Mild Stomach Upset,"Give water, soft food, monitor closely."
Chicken,"Scratching, feather loss",Mites / Lice,"Clean coop, use safe anti-parasitic treatment."
Fish,Floating near surface,Swim Bladder Disorder,"Feed peas, reduce overfeeding, monitor water temp."
Bird,"Sneezing, nasal discharge",Respiratory Infection,"Keep warm, clean water, avoid drafts."
Dog,"Limping, pain",Minor Injury,"Rest, cold compress, limit activity."
Horse,"Limping, heat in hooves",Laminitis,"Rest, cold compress, consult vet."
Rabbit,Diarrhea,Mild Stomach Upset,"Small portions of vegetables, water, monitor closely."
Rabbit,"Loss of appetite, lethargy",Gastrointestinal Stasis,"Offer hay, fresh water, stress-free environment."
Chicken,"Scratching, feather loss",Mites / Lice,"Clean coop, use safe anti-parasitic treatment."
Bird,"Sneezing, nasal discharge",Respiratory Infection,"Keep warm, clean water, avoid drafts."
Fish,White spots on body,Ich,"Increase water temperature gradually, salt bath if safe."
Sheep,"Scratching, wool loss",Parasites,"Regular deworming, maintain clean shelter."
Hamster,"Limping, minor wounds",Injury,"Rest, clean wound, monitor for infection."
